epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.078,1.41575,5.41758,0.98527,0.57595,0.06795,0.05511,0.04085,1.1703,4.16874,0.9039,5.72618e-05,5.72618e-05,5.72618e-05
2,316.484,1.30202,3.843,0.9332,0.45369,0.16927,0.1134,0.08492,1.09561,3.37482,0.89274,0.000110813,0.000110813,0.000110813
3,453.26,1.2316,3.30046,0.9229,0.46956,0.20248,0.16732,0.1253,1.0487,2.96321,0.89041,0.000160581,0.000160581,0.000160581
4,594.606,1.19129,2.86738,0.91523,0.49526,0.22902,0.20769,0.15572,1.01277,2.66491,0.88085,0.000154972,0.000154972,0.000154972
5,736.971,1.13778,2.60708,0.90512,0.36613,0.32575,0.26104,0.1973,1.00322,2.49814,0.88683,0.000149296,0.000149296,0.000149296
6,882.083,1.11527,2.35612,0.90276,0.47301,0.318,0.28325,0.21838,0.98476,2.22876,0.88382,0.00014362,0.00014362,0.00014362
7,1021.95,1.10559,2.20776,0.89982,0.46389,0.3518,0.32922,0.24934,0.98853,2.21087,0.88116,0.000137944,0.000137944,0.000137944
8,1161.49,1.08367,2.08028,0.89665,0.50401,0.33952,0.3545,0.27393,0.97445,2.01006,0.88317,0.000132268,0.000132268,0.000132268
9,1302.98,1.06381,1.99151,0.89278,0.47528,0.35401,0.35353,0.27398,0.96591,1.91744,0.87893,0.000126592,0.000126592,0.000126592
10,1444.76,1.05845,1.83254,0.88869,0.56448,0.33546,0.39376,0.30794,0.95974,1.83392,0.8801,0.000120916,0.000120916,0.000120916
11,1581.9,1.04665,1.76165,0.89061,0.42443,0.447,0.41217,0.32053,0.95209,1.77881,0.87551,0.00011524,0.00011524,0.00011524
12,1724.76,1.01967,1.66871,0.8827,0.52019,0.40605,0.41692,0.32353,0.94291,1.6788,0.87552,0.000109564,0.000109564,0.000109564
13,1865.56,1.01333,1.58798,0.88084,0.46839,0.44414,0.44112,0.34525,0.94577,1.61453,0.87271,0.000103888,0.000103888,0.000103888
14,2008.22,1.0092,1.53127,0.88246,0.5575,0.39984,0.45012,0.35282,0.94214,1.62462,0.86984,9.8212e-05,9.8212e-05,9.8212e-05
15,2152.95,1.01149,1.52931,0.87893,0.5949,0.40944,0.47641,0.37583,0.92138,1.5741,0.86855,9.2536e-05,9.2536e-05,9.2536e-05
16,2297.57,0.9926,1.46995,0.87569,0.58813,0.4486,0.48255,0.38113,0.91698,1.51665,0.8671,8.686e-05,8.686e-05,8.686e-05
17,2439.82,0.98783,1.41476,0.87793,0.46421,0.51396,0.48539,0.38823,0.91644,1.49887,0.86495,8.1184e-05,8.1184e-05,8.1184e-05
18,2577.54,0.99021,1.38791,0.87563,0.59415,0.43574,0.48348,0.38103,0.90458,1.45825,0.86537,7.5508e-05,7.5508e-05,7.5508e-05
19,2715.16,0.97504,1.3232,0.8715,0.53576,0.50154,0.50413,0.39763,0.89934,1.43117,0.86397,6.9832e-05,6.9832e-05,6.9832e-05
20,2852.7,0.973,1.32367,0.87028,0.6135,0.46125,0.5126,0.40016,0.9023,1.4219,0.86244,6.4156e-05,6.4156e-05,6.4156e-05
21,3034.76,0.94183,1.22579,0.86984,0.61363,0.4534,0.52089,0.40851,0.9039,1.40839,0.86275,5.848e-05,5.848e-05,5.848e-05
22,3170.93,0.93703,1.19708,0.8679,0.60241,0.48092,0.52165,0.40779,0.9061,1.36964,0.86114,5.2804e-05,5.2804e-05,5.2804e-05
23,3303.68,0.9269,1.16277,0.86564,0.59253,0.49703,0.52821,0.41479,0.90129,1.34288,0.86236,4.7128e-05,4.7128e-05,4.7128e-05
24,3437.92,0.92212,1.12964,0.86169,0.58863,0.50827,0.53394,0.4174,0.89506,1.31953,0.86257,4.1452e-05,4.1452e-05,4.1452e-05
25,3572.49,0.92272,1.12849,0.86558,0.59356,0.49284,0.53634,0.41942,0.89454,1.33681,0.8599,3.5776e-05,3.5776e-05,3.5776e-05
26,3704.88,0.91407,1.09442,0.86332,0.6441,0.47777,0.54426,0.42723,0.89751,1.32446,0.8606,3.01e-05,3.01e-05,3.01e-05
27,3840.86,0.90174,1.08058,0.85922,0.60755,0.48423,0.54377,0.42549,0.88763,1.29552,0.8604,2.4424e-05,2.4424e-05,2.4424e-05
28,3982.95,0.90127,1.06015,0.86105,0.57152,0.50911,0.54519,0.42531,0.88607,1.28017,0.85934,1.8748e-05,1.8748e-05,1.8748e-05
29,4124.05,0.89742,1.04658,0.86051,0.60438,0.49586,0.54977,0.43332,0.87521,1.28302,0.85727,1.3072e-05,1.3072e-05,1.3072e-05
30,4259.17,0.89936,1.04822,0.85892,0.61642,0.49102,0.54977,0.43356,0.88151,1.28534,0.85851,7.396e-06,7.396e-06,7.396e-06
